Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.9794,0.989,0.011,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf late blight,0.476,0.9366,0.0634,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.6243,0.5088,0.4912,0
EfficientNet-B0,Apple Scab Leaf,Corn rust leaf,0.5542,0.9886,0.0114,0
EfficientNet-B0,Apple Scab Leaf,Cherry leaf,0.4878,0.9609,0.0391,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.6684,0.8916,0.1084,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9673,0.9743,0.0257,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.5016,0.8928,0.1072,0
EfficientNet-B0,Apple Scab Leaf,Cherry leaf,0.7661,0.9789,0.0211,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf early blight,0.3355,1.0,0.0,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.6208,0.9844,0.0156,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf early blight,0.8784,0.7066,0.2934,0
EfficientNet-B0,Apple Scab Leaf,Apple Scab Leaf,0.8214,0.7134,0.2866,1
EfficientNet-B0,Apple Scab Leaf,Bell_pepper leaf spot,0.6466,0.9124,0.0876,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5834,0.6388,0.3612,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5816,0.9926,0.0074,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.496,0.8065,0.1935,0
EfficientNet-B0,Apple Scab Leaf,Squash Powdery mildew leaf,0.9409,0.9721,0.0279,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.588,0.8145,0.1855,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf late blight,0.5864,0.8519,0.1481,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9787,0.9958,0.0042,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.6839,0.9983,0.0017,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf early blight,0.9723,0.621,0.379,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.4863,0.787,0.213,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.2947,0.5566,0.4434,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.4768,0.9982,0.0018,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf early blight,0.5769,0.9317,0.0683,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.994,0.958,0.042,0
EfficientNet-B0,Apple Scab Leaf,Tomato Septoria leaf spot,0.3398,0.9942,0.0058,0
EfficientNet-B0,Apple Scab Leaf,Squash Powdery mildew leaf,0.9049,0.9552,0.0448,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9926,0.8131,0.1869,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5549,0.9721,0.0279,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.9726,0.9593,0.0407,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.6673,0.8154,0.1846,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.8354,0.921,0.079,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.5106,0.5527,0.4473,0
EfficientNet-B0,Apple Scab Leaf,Corn rust leaf,0.3603,0.848,0.152,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.1832,0.8151,0.1849,0
EfficientNet-B0,Apple Scab Leaf,grape leaf,0.904,0.9893,0.0107,0
EfficientNet-B0,Apple Scab Leaf,Squash Powdery mildew leaf,0.4967,0.6663,0.3337,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.4293,0.8095,0.1905,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.2277,0.9053,0.0947,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.4609,0.9556,0.0444,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.8034,0.8848,0.1152,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf,0.4901,0.7883,0.2117,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9346,0.7391,0.2609,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.9813,0.8125,0.1875,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.9651,0.9658,0.0342,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.9308,0.862,0.138,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.9572,0.9858,0.0142,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.8994,0.9731,0.0269,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5314,0.9493,0.0507,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.8788,0.9662,0.0338,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.937,0.9681,0.0319,0
EfficientNet-B0,Apple Scab Leaf,Potato leaf late blight,0.5963,0.7434,0.2566,0
EfficientNet-B0,Apple Scab Leaf,Tomato Early blight leaf,0.7211,0.941,0.059,0
EfficientNet-B0,Apple Scab Leaf,Apple Scab Leaf,0.6115,0.976,0.024,1
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.5634,0.9685,0.0315,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.481,0.8038,0.1962,0
EfficientNet-B0,Apple Scab Leaf,Corn rust leaf,0.3195,0.8642,0.1358,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.327,0.7718,0.2282,0
EfficientNet-B0,Apple Scab Leaf,grape leaf black rot,0.4439,0.8654,0.1346,0
EfficientNet-B0,Apple Scab Leaf,Tomato leaf late blight,0.9999,0.9741,0.0259,0
EfficientNet-B0,Apple Scab Leaf,Apple leaf,0.9795,0.9982,0.0018,0
EfficientNet-B0,Apple leaf,grape leaf black rot,0.7045,0.9918,0.0082,0
EfficientNet-B0,Apple leaf,grape leaf black rot,0.5035,0.6692,0.3308,0
EfficientNet-B0,Apple leaf,Tomato leaf late blight,0.9694,0.8768,0.1232,0
EfficientNet-B0,Apple leaf,Apple leaf,0.9997,0.9195,0.0805,1
EfficientNet-B0,Apple leaf,Apple leaf,0.9987,0.9981,0.0019,1
EfficientNet-B0,Apple leaf,Apple leaf,0.6946,0.9999,0.0001,1
EfficientNet-B0,Apple leaf,Tomato leaf late blight,0.5582,0.4725,0.5275,0
EfficientNet-B0,Apple leaf,Strawberry leaf,0.8556,1.0,0.0,0
