Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.9942,0.9996,0.0004,1
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.9855,0.6833,0.3167,0
ResNet50,Apple Scab Leaf,Apple leaf,0.8256,0.6589,0.3411,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.4317,0.607,0.393,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.4128,0.9944,0.0056,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.474,0.9689,0.0311,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.6096,0.9455,0.0545,0
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.686,0.9944,0.0056,0
ResNet50,Apple Scab Leaf,Apple leaf,0.2989,0.6429,0.3571,0
ResNet50,Apple Scab Leaf,Corn Gray leaf spot,0.7012,0.6187,0.3813,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8911,0.9512,0.0488,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.5838,0.9608,0.0392,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf spot,0.7675,0.7942,0.2058,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.4596,0.938,0.062,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8312,0.7564,0.2436,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.8006,0.843,0.157,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.5369,0.8883,0.1117,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.9235,0.9975,0.0025,0
ResNet50,Apple Scab Leaf,Corn leaf blight,0.6938,0.5006,0.4994,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.2403,0.89,0.11,0
ResNet50,Apple Scab Leaf,Corn leaf blight,0.6002,0.9406,0.0594,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.3055,0.9874,0.0126,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.424,0.8547,0.1453,0
ResNet50,Apple Scab Leaf,Peach leaf,0.9249,0.8765,0.1235,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.3827,0.666,0.334,0
ResNet50,Apple Scab Leaf,Tomato leaf late blight,0.6937,0.6008,0.3992,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.5486,0.9796,0.0204,1
ResNet50,Apple Scab Leaf,Blueberry leaf,0.4947,0.8766,0.1234,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.5757,0.979,0.021,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf,0.2983,0.9398,0.0602,0
ResNet50,Apple Scab Leaf,Potato leaf early blight,0.603,0.0,1.0,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.5661,0.9969,0.0031,1
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.4015,0.9828,0.0172,0
ResNet50,Apple Scab Leaf,Tomato Early blight leaf,0.899,0.6265,0.3735,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.465,0.9536,0.0464,1
ResNet50,Apple Scab Leaf,Apple leaf,0.4084,0.8327,0.1673,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.4122,0.9597,0.0403,0
ResNet50,Apple Scab Leaf,Cherry leaf,0.4346,0.7345,0.2655,0
ResNet50,Apple Scab Leaf,grape leaf black rot,0.3175,0.8988,0.1012,0
ResNet50,Apple Scab Leaf,Blueberry leaf,0.9353,0.8714,0.1286,0
ResNet50,Apple Scab Leaf,Bell_pepper leaf spot,0.2711,0.9148,0.0852,0
ResNet50,Apple Scab Leaf,Tomato Septoria leaf spot,0.6889,0.9662,0.0338,0
ResNet50,Apple Scab Leaf,Apple Scab Leaf,0.4655,0.9915,0.0085,1
ResNet50,Apple leaf,Bell_pepper leaf spot,0.2926,0.9723,0.0277,0
ResNet50,Apple leaf,Tomato leaf,0.8927,0.6745,0.3255,0
ResNet50,Apple leaf,Bell_pepper leaf,0.6648,0.8112,0.1888,0
ResNet50,Apple leaf,Apple leaf,0.5631,0.8398,0.1602,1
ResNet50,Apple leaf,Apple leaf,0.6332,0.9993,0.0007,1
ResNet50,Apple leaf,Cherry leaf,0.7172,0.9998,0.0002,0
ResNet50,Apple leaf,Blueberry leaf,0.9343,0.3791,0.6209,0
ResNet50,Apple leaf,Tomato leaf yellow virus,0.2026,1.0,0.0,0
