Model,TrueClass,PredictedClass,Confidence,LeafFocusRatio,BackgroundLeakage,Correct
MobileNetV2,Apple Scab Leaf,Tomato Early blight leaf,0.8589,0.9548,0.0452,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.9673,0.9166,0.0834,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf,0.4141,0.9778,0.0222,0
MobileNetV2,Apple Scab Leaf,Blueberry leaf,0.3237,0.9825,0.0175,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.3001,0.8691,0.1309,0
MobileNetV2,Apple Scab Leaf,Squash Powdery mildew leaf,0.3761,0.9744,0.0256,0
MobileNetV2,Apple Scab Leaf,Corn leaf blight,0.4832,0.3589,0.6411,0
MobileNetV2,Apple Scab Leaf,Bell_pepper leaf spot,0.3134,0.9671,0.0329,0
MobileNetV2,Apple Scab Leaf,Apple Scab Leaf,0.8906,0.9969,0.0031,1
MobileNetV2,Apple leaf,grape leaf black rot,0.2488,0.9907,0.0093,0
MobileNetV2,Apple leaf,grape leaf black rot,0.3308,0.5255,0.4745,0
MobileNetV2,Apple leaf,Tomato Early blight leaf,0.5973,0.8127,0.1873,0
MobileNetV2,Apple leaf,Bell_pepper leaf,0.6334,0.98,0.02,0
MobileNetV2,Apple leaf,Apple leaf,0.991,0.9948,0.0052,1
MobileNetV2,Apple leaf,Cherry leaf,0.4716,0.9999,0.0001,0
MobileNetV2,Apple leaf,Blueberry leaf,0.2581,0.3193,0.6807,0
MobileNetV2,Apple leaf,Bell_pepper leaf,0.1708,1.0,0.0,0
